year,level_1,level_2,value
1985,Male General Marriage Rate,25 - 29 Years,110.3
1985,Male General Marriage Rate,30 - 34 Years,109.8
1985,Male General Marriage Rate,35 - 39 Years,83.2
1985,Male General Marriage Rate,40 - 44 Years,54.5
1985,Male General Marriage Rate,45 - 49 Years,45.8
1986,Male General Marriage Rate,15 - 19 Years,1
1986,Male General Marriage Rate,20 - 24 Years,35.8
1986,Male General Marriage Rate,25 - 29 Years,87.3
1986,Male General Marriage Rate,30 - 34 Years,92.5
1986,Male General Marriage Rate,35 - 39 Years,70.4
1986,Male General Marriage Rate,40 - 44 Years,60.6
1986,Male General Marriage Rate,45 - 49 Years,37.7
1987,Male General Marriage Rate,15 - 19 Years,1
1987,Male General Marriage Rate,20 - 24 Years,37.9
1987,Male General Marriage Rate,25 - 29 Years,104.1
1987,Male General Marriage Rate,30 - 34 Years,107.8
1987,Male General Marriage Rate,35 - 39 Years,87.7
1987,Male General Marriage Rate,40 - 44 Years,61.1
1987,Male General Marriage Rate,45 - 49 Years,45.9
1988,Male General Marriage Rate,15 - 19 Years,0.8
1988,Male General Marriage Rate,20 - 24 Years,38.8
1988,Male General Marriage Rate,25 - 29 Years,112.1
1988,Male General Marriage Rate,30 - 34 Years,111.7
1988,Male General Marriage Rate,35 - 39 Years,77.1
1988,Male General Marriage Rate,40 - 44 Years,59.5
1988,Male General Marriage Rate,45 - 49 Years,32.5
1989,Male General Marriage Rate,15 - 19 Years,1
1989,Male General Marriage Rate,20 - 24 Years,37.9
1989,Male General Marriage Rate,25 - 29 Years,100.7
1989,Male General Marriage Rate,30 - 34 Years,100.4
1989,Male General Marriage Rate,35 - 39 Years,75.1
1989,Male General Marriage Rate,40 - 44 Years,62.1
1989,Male General Marriage Rate,45 - 49 Years,42
1990,Male General Marriage Rate,15 - 19 Years,1.2
1990,Male General Marriage Rate,20 - 24 Years,35.1
1990,Male General Marriage Rate,25 - 29 Years,107.6
1990,Male General Marriage Rate,30 - 34 Years,96.4
1990,Male General Marriage Rate,35 - 39 Years,68.5
1990,Male General Marriage Rate,40 - 44 Years,41.6
1990,Male General Marriage Rate,45 - 49 Years,28.3
1991,Male General Marriage Rate,15 - 19 Years,1.4
1991,Male General Marriage Rate,20 - 24 Years,35.4
1991,Male General Marriage Rate,25 - 29 Years,109.4
1991,Male General Marriage Rate,30 - 34 Years,107.6
1991,Male General Marriage Rate,35 - 39 Years,77.5
1991,Male General Marriage Rate,40 - 44 Years,51.2
1991,Male General Marriage Rate,45 - 49 Years,33.9
1992,Male General Marriage Rate,15 - 19 Years,1.3
1992,Male General Marriage Rate,20 - 24 Years,32.5
1992,Male General Marriage Rate,25 - 29 Years,113.7
1992,Male General Marriage Rate,30 - 34 Years,108.9
1992,Male General Marriage Rate,35 - 39 Years,79.5
1992,Male General Marriage Rate,40 - 44 Years,50.4
1992,Male General Marriage Rate,45 - 49 Years,38.5
1993,Male General Marriage Rate,15 - 19 Years,1.6
1993,Male General Marriage Rate,20 - 24 Years,29.4
1993,Male General Marriage Rate,25 - 29 Years,108.3
1993,Male General Marriage Rate,30 - 34 Years,106.1
1993,Male General Marriage Rate,35 - 39 Years,78.5
1993,Male General Marriage Rate,40 - 44 Years,52.7
1993,Male General Marriage Rate,45 - 49 Years,40.2
1994,Male General Marriage Rate,15 - 19 Years,1.4
1994,Male General Marriage Rate,20 - 24 Years,29.5
1994,Male General Marriage Rate,25 - 29 Years,107.9
1994,Male General Marriage Rate,30 - 34 Years,110.7
1994,Male General Marriage Rate,35 - 39 Years,77.9
1994,Male General Marriage Rate,40 - 44 Years,55.8
1994,Male General Marriage Rate,45 - 49 Years,39
1995,Male General Marriage Rate,15 - 19 Years,1.2
1995,Male General Marriage Rate,20 - 24 Years,29.3
1995,Male General Marriage Rate,25 - 29 Years,113.1
1995,Male General Marriage Rate,30 - 34 Years,108
1995,Male General Marriage Rate,35 - 39 Years,70.8
1995,Male General Marriage Rate,40 - 44 Years,54.8
1995,Male General Marriage Rate,45 - 49 Years,35.2
1996,Male General Marriage Rate,15 - 19 Years,1.5
1996,Male General Marriage Rate,20 - 24 Years,28
1996,Male General Marriage Rate,25 - 29 Years,110.1
1996,Male General Marriage Rate,30 - 34 Years,113.4
1996,Male General Marriage Rate,35 - 39 Years,72.2
1996,Male General Marriage Rate,40 - 44 Years,52
1996,Male General Marriage Rate,45 - 49 Years,34.6
1997,Male General Marriage Rate,15 - 19 Years,1.2
1997,Male General Marriage Rate,20 - 24 Years,33.2
1997,Male General Marriage Rate,25 - 29 Years,119.1
1997,Male General Marriage Rate,30 - 34 Years,110.7
1997,Male General Marriage Rate,35 - 39 Years,77.2
1997,Male General Marriage Rate,40 - 44 Years,47.4
1997,Male General Marriage Rate,45 - 49 Years,35.5
1998,Male General Marriage Rate,15 - 19 Years,1.3
1998,Male General Marriage Rate,20 - 24 Years,26.9
1998,Male General Marriage Rate,25 - 29 Years,100.5
1998,Male General Marriage Rate,30 - 34 Years,101.5
1998,Male General Marriage Rate,35 - 39 Years,67.2
1998,Male General Marriage Rate,40 - 44 Years,49.4
1998,Male General Marriage Rate,45 - 49 Years,32.9
1999,Male General Marriage Rate,15 - 19 Years,1.4
1999,Male General Marriage Rate,20 - 24 Years,28.8
1999,Male General Marriage Rate,25 - 29 Years,118.3
1999,Male General Marriage Rate,30 - 34 Years,110.2
1999,Male General Marriage Rate,35 - 39 Years,71.1
1999,Male General Marriage Rate,40 - 44 Years,49.8
1999,Male General Marriage Rate,45 - 49 Years,36.6
2000,Male General Marriage Rate,15 - 19 Years,1.7
2000,Male General Marriage Rate,20 - 24 Years,23.7
2000,Male General Marriage Rate,25 - 29 Years,104
2000,Male General Marriage Rate,30 - 34 Years,98.3
2000,Male General Marriage Rate,35 - 39 Years,64.5
2000,Male General Marriage Rate,40 - 44 Years,43.8
2000,Male General Marriage Rate,45 - 49 Years,30.9
2001,Male General Marriage Rate,15 - 19 Years,1.8
2001,Male General Marriage Rate,20 - 24 Years,22
2001,Male General Marriage Rate,25 - 29 Years,98.5
2001,Male General Marriage Rate,30 - 34 Years,104.3
2001,Male General Marriage Rate,35 - 39 Years,73.3
2001,Male General Marriage Rate,40 - 44 Years,44.8
2001,Male General Marriage Rate,45 - 49 Years,30.3
2002,Male General Marriage Rate,15 - 19 Years,1.5
2002,Male General Marriage Rate,20 - 24 Years,20.5
2002,Male General Marriage Rate,25 - 29 Years,101.1
2002,Male General Marriage Rate,30 - 34 Years,104.4
2002,Male General Marriage Rate,35 - 39 Years,70.7
2002,Male General Marriage Rate,40 - 44 Years,42.5
2002,Male General Marriage Rate,45 - 49 Years,30.8
2003,Male General Marriage Rate,15 - 19 Years,1.2
2003,Male General Marriage Rate,20 - 24 Years,18.7
2003,Male General Marriage Rate,25 - 29 Years,96.2
2003,Male General Marriage Rate,30 - 34 Years,107.4
2003,Male General Marriage Rate,35 - 39 Years,64.4
2003,Male General Marriage Rate,40 - 44 Years,41.7
2003,Male General Marriage Rate,45 - 49 Years,29.3
2004,Male General Marriage Rate,15 - 19 Years,1.1
2004,Male General Marriage Rate,20 - 24 Years,19
2004,Male General Marriage Rate,25 - 29 Years,85.9
2004,Male General Marriage Rate,30 - 34 Years,108.2
2004,Male General Marriage Rate,35 - 39 Years,80.4
2004,Male General Marriage Rate,40 - 44 Years,48.9
2004,Male General Marriage Rate,45 - 49 Years,31.4
2005,Male General Marriage Rate,15 - 19 Years,1
2005,Male General Marriage Rate,20 - 24 Years,17.4
2005,Male General Marriage Rate,25 - 29 Years,85.3
2005,Male General Marriage Rate,30 - 34 Years,106.1
2005,Male General Marriage Rate,35 - 39 Years,78.1
2005,Male General Marriage Rate,40 - 44 Years,54.8
2005,Male General Marriage Rate,45 - 49 Years,39.2
2006,Male General Marriage Rate,15 - 19 Years,1
2006,Male General Marriage Rate,20 - 24 Years,16.7
2006,Male General Marriage Rate,25 - 29 Years,84.4
2006,Male General Marriage Rate,30 - 34 Years,108.3
2006,Male General Marriage Rate,35 - 39 Years,84.8
2006,Male General Marriage Rate,40 - 44 Years,48.4
2006,Male General Marriage Rate,45 - 49 Years,37.8
2007,Male General Marriage Rate,15 - 19 Years,0.9
2007,Male General Marriage Rate,20 - 24 Years,15.9
2007,Male General Marriage Rate,25 - 29 Years,82
2007,Male General Marriage Rate,30 - 34 Years,112.7
2007,Male General Marriage Rate,35 - 39 Years,83.7
2007,Male General Marriage Rate,40 - 44 Years,55.9
2007,Male General Marriage Rate,45 - 49 Years,38.6
2008,Male General Marriage Rate,15 - 19 Years,0.9
2008,Male General Marriage Rate,20 - 24 Years,14.4
2008,Male General Marriage Rate,25 - 29 Years,83
2008,Male General Marriage Rate,30 - 34 Years,111.8
2008,Male General Marriage Rate,35 - 39 Years,84.9
2008,Male General Marriage Rate,40 - 44 Years,58.5
2008,Male General Marriage Rate,45 - 49 Years,37
2009,Male General Marriage Rate,15 - 19 Years,0.8
2009,Male General Marriage Rate,20 - 24 Years,12.7
2009,Male General Marriage Rate,25 - 29 Years,79.5
2009,Male General Marriage Rate,30 - 34 Years,112.1
2009,Male General Marriage Rate,35 - 39 Years,92
2009,Male General Marriage Rate,40 - 44 Years,55.9
2009,Male General Marriage Rate,45 - 49 Years,40.6
2010,Male General Marriage Rate,15 - 19 Years,0.7
2010,Male General Marriage Rate,20 - 24 Years,11.7
2010,Male General Marriage Rate,25 - 29 Years,71.8
2010,Male General Marriage Rate,30 - 34 Years,102.7
2010,Male General Marriage Rate,35 - 39 Years,77.9
2010,Male General Marriage Rate,40 - 44 Years,52.1
2010,Male General Marriage Rate,45 - 49 Years,36.7
2011,Male General Marriage Rate,15 - 19 Years,0.7
2011,Male General Marriage Rate,20 - 24 Years,11.1
2011,Male General Marriage Rate,25 - 29 Years,79.6
2011,Male General Marriage Rate,30 - 34 Years,117.9
2011,Male General Marriage Rate,35 - 39 Years,89.2
2011,Male General Marriage Rate,40 - 44 Years,58.5
2011,Male General Marriage Rate,45 - 49 Years,41.2
2012,Male General Marriage Rate,15 - 19 Years,0.6
2012,Male General Marriage Rate,20 - 24 Years,12.2
2012,Male General Marriage Rate,25 - 29 Years,77.8
2012,Male General Marriage Rate,30 - 34 Years,117.8
2012,Male General Marriage Rate,35 - 39 Years,96.5
2012,Male General Marriage Rate,40 - 44 Years,65.2
2012,Male General Marriage Rate,45 - 49 Years,39.8
2013,Male General Marriage Rate,15 - 19 Years,0.6
2013,Male General Marriage Rate,20 - 24 Years,10.9
2013,Male General Marriage Rate,25 - 29 Years,71.5
2013,Male General Marriage Rate,30 - 34 Years,109.9
2013,Male General Marriage Rate,35 - 39 Years,86.2
2013,Male General Marriage Rate,40 - 44 Years,56
2013,Male General Marriage Rate,45 - 49 Years,36
2014,Male General Marriage Rate,15 - 19 Years,0.5
2014,Male General Marriage Rate,20 - 24 Years,10.7
2014,Male General Marriage Rate,25 - 29 Years,77
2014,Male General Marriage Rate,30 - 34 Years,127.2
2014,Male General Marriage Rate,35 - 39 Years,89.1
2014,Male General Marriage Rate,40 - 44 Years,61
2014,Male General Marriage Rate,45 - 49 Years,35.7
2015,Male General Marriage Rate,15 - 19 Years,0.6
2015,Male General Marriage Rate,20 - 24 Years,10.1
2015,Male General Marriage Rate,25 - 29 Years,76.4
2015,Male General Marriage Rate,30 - 34 Years,132.5
2015,Male General Marriage Rate,35 - 39 Years,90.6
2015,Male General Marriage Rate,40 - 44 Years,54.6
2015,Male General Marriage Rate,45 - 49 Years,36.3
